ticker,date,stage,decision,reason_code,type,conviction,theme,reason
AIRO,2026-06-08,tier3,DO_NOT_BUY,,—,—,,"WHAT WOULD MAKE THIS A DO NOT BUY (it already is): three of four §7 winner-discriminators absent (milestone-on-original-date, firm FFP cash anchor, margin/CF inflection) with the one present (backlog)"
AMPX,2026-06-08,tier2,DROP,,,,,"Right name, wrong entry: real FFP defense pull is genuine but already re-rated (~$2.8B cap, ~21x FY26 sales, near 52wk high off a $2.66 low) — >=4x asymmetry no longer present; theme's >=4x escape sit"
APPN,2026-06-08,tier2,DROP,,,,,"No credible >=4x path: 13% total-rev growth at fair ~2.4x EV/sales; 4x needs heroic multiple re-rate into the very rate-sensitive SaaS-duration headwind the lineage flags. Quality compounder, not a mu"
BARK,2026-06-08,tier2,DROP,thin-setup,,,,"thin-setup: 4x rests on commerce/retail re-acceleration that is asserted, not shown — revenue contracting ~22% YoY (TTM -13.6%) while company shrinks-to-EBITDA; commerce only ~22% of mix can't carry t"
CNVS,2026-06-08,tier2,DROP,ruin,,,,"Ruin/§9 — going-concern & dilution-death-spiral: ~$2.46M cash vs ~$20M rising burn, only $4.2M left on credit line, already funding via $13M 9% converts + dribble $3M equity raises; FY27 accretion is "
CPS,2026-06-08,tier2,DROP,thin-setup,,,,"weak-setup: real deleveraging path but base case only ~2x; the 3-4x needs multiple re-rate + EBITDA-to-high-end + FCF paydown stacking, and a fat 5.1x-levered bear tail into a declining-volume/tariff "
ELTX,2026-06-08,tier3,BUY,,multibagger,Bullish,,Target $45-75 (3.5x-5.5x from $13.26) on a clean positive randomized DFS HR in AMPLIFY-7P; horizon ~6-12 months; driver = single dated event-driven Phase 2 DFS readout re-rating a ~19M-share float ont
ELTX,2026-06-08,tier4,DO_NOT_BUY,,,,,"Sound 3c binary thesis but FAILS the opportunity bar. INFLECTION: pre-inflection — 3a found all 4 §7 discriminators ABSENT in hard form (no converting backlog/revenue, milestone slipped 4x, no firm ca"
GLBE,2026-06-08,tier2,DROP,thin-setup,,,,"marginal-asymmetry: re-rated ~$5.4B mid-cap with no credible >=4x mechanism and only modest (non-dominant) U/D; quality compounder, not a deep-dive-worthy mispricing."
IBIO,2026-06-08,tier2,DROP,thin-setup,,,,"Thin setup: next real readout is a non-efficacy Phase 1 SAD (PK/safety) with no dated 2026 binary; lean-mass efficacy not until study completion 2H-2027 — long catalyst dead-zone, sentiment-only upsid"
LE,2026-06-08,tier2,DROP,thin-setup,,,,"weak-setup: credible upside is a 2-3x de-lever/special-sit, not a clean >=4x nor a high-confidence downside-protected 3-4x; the >4x leg leans on asserted future third-party licensing + an undated WHP-"
PACB,2026-06-08,tier2,DROP,thin-setup,,,,"Marginal asymmetry + weak proxy: no §7 discriminator shown, the one printed metric (non-GAAP GM) moves the WRONG way (37% vs 40% YoY) on flat revenue; bull rests on an asserted ""consumables inflection"
PRZO,2026-06-08,tier2,DROP,weak-proxy,,,,"Weak proxy for a strong theme + dilution death-spiral: ~$16M-cap sub-$1 micro, ~10mo runway on $4.2M cash vs ~$5M/yr burn, +57% shares YoY via serial registered directs, US Tier-1 order unquantified —"
QTRX,2026-06-08,tier3,DO_NOT_BUY,,—,—,,WHAT WOULD MAKE THIS A DO NOT BUY (and does): the path test fails — 0-of-4 §7 discriminators PRESENT where the re-rate needs them; the company excludes the Dx re-rate from its own FY26 guide (CFO: 'no
RXRX,2026-06-08,tier2,DROP,thin-setup,,,,"marginal asymmetry — no credible >=4x and no downside-protected 3-4x from a $1.76B cap; path shows one dated milestone (FAP) worth ~2x, the rest is asserted platform optionality"
SCOR,2026-06-08,tier2,DROP,thin-setup,,,,"Marginal asymmetry: $183.7M Series C preference (Cerberus/Charter/Liberty, ~46% as-converted, controls the strategic process) caps common 4x math and adds take-under risk; path to crossover asserted n"
SENS,2026-06-08,tier2,DROP,thin-setup,,,,"Marginal asymmetry on a dilution-taxed path: burns ~$128M/yr to make ~$62M rev, $300M shelf/$100M ATM loaded with only ~4 quarters runway — serial-dilution refi the macro posture cautions against; per"
SKYX,2026-06-08,tier2,DROP,thin-setup,,,,thin-setup/weak-proxy: 4x path rests entirely on announced-only licenses with NO disclosed royalty economics + unshipped Gen-3 on a 10%-growth serial-dilution burner; shows 0 of 4 discriminators.
