timestamp,symbol,tier,price,beta,banker,momentum_4w,return_20d,theme,theme_score,pure_play_score,theme_verdict,final_decision,conviction,sector_status,upside_potential,bullish_factors,risk_factors,reasoning
2026-01-05 18:20:31,RCAT,TIER1,10.41,2.67,100,29.5,29.8,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,UCTT,TIER1,29.73,2.29,100,14.1,13.3,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,PI,TIER2,171.58,2.14,69.2,18.1,8.4,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,CC,TIER1,12.73,2.08,70.3,-1.7,0.2,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,ALGM,TIER1,28.56,1.94,74.3,5.3,-2.3,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,FIX,TIER1,1037.41,1.81,94.3,7.2,3.6,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,PENG,TIER3,20.86,1.75,56.9,0.1,-3.3,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,TMC,TIER2,7.28,1.69,60.8,9.6,-4.2,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,IBKR,TIER1,70.96,1.65,96.0,10.6,10.0,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,XYZ,TIER1,68.93,1.62,86.3,6.5,12.8,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,BBWI,TIER1,20.72,1.6,74.8,3.3,10.0,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,TLN,TIER1,387.65,1.53,77.0,8.8,9.4,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,PENN,TIER1,15.39,1.51,86.0,7.8,11.4,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,REZI,TIER2,36.31,1.51,64.1,0.3,7.4,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:20:31,VECO,TIER2,31.57,1.5,65.3,3.1,-1.5,,0.0,0,SKIPPED,PASSED_THEME,0,,,,,
2026-01-05 18:27:38,RCAT,TIER1,10.38,2.67,100,29.0,29.4,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:27:38,UCTT,TIER1,29.76,2.29,100,14.2,13.4,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:27:38,PI,TIER2,171.6,2.14,69.3,18.1,8.4,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:27:38,CC,TIER1,12.8,2.08,73.1,-1.2,0.8,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:27:38,ALGM,TIER1,28.53,1.94,73.8,5.3,-2.3,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:27:38,FIX,TIER1,1035.25,1.81,93.2,7.0,3.4,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:27:38,TMC,TIER2,7.28,1.69,60.8,9.6,-4.2,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:27:38,IBKR,TIER1,70.86,1.65,95.1,10.5,9.9,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:27:38,XYZ,TIER1,68.77,1.62,85.0,6.2,12.5,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:27:38,BBWI,TIER1,20.79,1.6,76.6,3.7,10.4,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:27:38,TLN,TIER1,386.76,1.53,75.8,8.5,9.2,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:27:38,PENN,TIER1,15.36,1.51,84.9,7.6,11.1,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:27:38,REZI,TIER2,36.33,1.51,64.3,0.4,7.4,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:27:38,VECO,TIER2,31.52,1.5,64.6,2.9,-1.7,,0.0,0,SKIPPED,TECHNICAL_ONLY,0,,,,,
2026-01-05 18:34:07,RCAT,TIER1,10.46,2.67,100,30.0,30.4,Defense & Aerospace Manufacturing,0.0,85,GOOD FIT,CONSIDER,3,Warm 🔥🔥,Moderate (20-50%),Growing cybersecurity market; Enterprise security demand,Small cap volatility; Competitive enterprise software space; Execution risk on growth,Red Cat Security operates in a growing cybersecurity niche but faces typical small-cap execution risks. Sector tailwinds present but competitive landscape intense.
2026-01-05 18:34:07,ALGM,TIER1,28.51,1.94,73.4,5.2,-2.4,AI Power Infrastructure / Grid Modernization,0.0,55,STRONG FIT,CONSIDER,3,Warm 🔥🔥,Moderate (20-50%),5G infrastructure buildout; Telecom equipment demand; Potential margin expansion,Customer concentration; Cyclical telecom capex; Supply chain pressures,Allegro MicroSystems benefits from 5G and automotive semiconductor trends; but faces typical semiconductor sector cyclicality and customer concentration risks.
